Column	Measure
CD8_total_CD45	pct
CD8_Tem_CD8	pct
CD8_Tem_CD45	pct
CD8_Tcm_CD8	pct
CD8_Tcm_CD45	pct
CD8_Temra_CD8	pct
CD8_Temra_CD45	pct
CD4_total_CD45	pct
CD4_Tem_CD4	pct
CD4_Tem_CD45	pct
CD4_Tcm_CD4	pct
CD4_Tcm_CD45	pct
CD4_Temra_CD4	pct
CD4_Temra_CD45	pct
CD4_Treg_CD4	pct
CD4_Tregs_CD45	pct
NKCells	pct
NKTCells	pct
Bcells	pct
CD8_Tem_Ki67	pct
CD8_Tcm_Ki67	pct
CD8_Temra_Ki67	pct
CD4_Tem_Ki67	pct
CD4_Tcm_Ki67	pct
CD4_Tregs_Ki67	pct
CD4_Temra_Ki67	pct
CD8_Tem_GZMB	pct
CD8_Tcm_GZMB	pct
CD8_Temra_GZMB	pct
CD4_Tem_GZMB	pct
CD4_Tcm_GZMB	pct
CD4_Tregs_GZMB	pct
CD4_Temra_GZMB	pct
CD8_Tem_PD1	num
CD8_Tcm_PD1	num
CD8_Temra_PD1	num
CD4_Tcm_PD1	num
CD4_TcmTreg_PD1	num
CD4_TcmTh1_PD1	num
CD4_TcmTh2_PD1	num
CD4_Tem_PD1	num
CD4_TemTreg_PD1	num
CD4_TemTh1_PD1	num
CD4_TemTh2_PD1	num
CD4_Temra_PD1	num
CD4_TemraTreg_PD1	num
CD4_TemraTh1_PD1	num
CD4_TemraTh2_PD1	num
CD4_PD1	num
CD8_PD1	num
MyeloidDCs	pct
CD141p_mDCs	pct
CD1cp_mDCs	pct
PlasmacytoidDCs	pct
Monocytes	pct
CD14nCD16n	pct
ClassicalMonocytes_CD14ppCD16n	pct
IntermediateMonocyte_CD14pCD16p	pct
Non_classicalMonocyte_CD14pCD16pp	pct
Granulocytes	pct
MyeloidDCs_PDL1	num
CD141p_mDCs_PDL1	num
CD1cp_mDCs_PDL1	num
PlasmacytoidDCs_PDL1	num
Monocytes_PDL1	num
CD14nCD16n_PDL1	num
ClassicalMonocytes_CD14ppCD16n_PDL1	num
IntermediateMonocyte_CD14pCD16p_PDL1	num
Non_classicalMonocyte_CD14pCD16pp_PDL1	num
Granulocytes_PDL1	num
CD45p_PDL1	num
CD45n_PDL1	num
