Column	Measure
CCL8	num
IL2RA	num
CCL3	num
CXCL12A	num
IL27	num
LIF	num
IL1B	num
IL2	num
IL4	num
IL5	num
CXCL10	num
IL6	num
IL7	num
CXCL8	num
IL10	num
CXCL13	num
CCL24	num
CCL11	num
IL12p70	num
IL13	num
IL17A	num
IL31	num
KITLG	num
CSF3	num
IFNG	num
CSF2	num
TNF	num
HGF	num
CCL4	num
IFNA1	num
CCL26	num
CCL2	num
IL9	num
MIF	num
LTA	num
NGF	num
CCL20	num
CXCL11	num
TNFSF10	num
CX3CL1	num
CXCL1	num
IL1A	num
IL23	num
MMP1	num
IL15	num
IL18	num
CCL7	num
CSF1	num
CXCL9	num
IL16	num
IL21	num
IL3	num
sCD40L	num
FGF2	num
IL22	num
VEGFA	num
TSLP	num
IL20	num
CXCL5	num
TNFRSF8	num
TNFRSF1B	num
TNFSF13B	num
CCL22	num
TNFSF13	num
TNFSF12	num
