Sample	Rare	Small	Medium	Large	Hyperexpanded
LIB191025LC_S1	0.00109072479948292	0.00294042757391466	0.31638608964754	0.648670319554211	0.0309124384248513
LIB191025LC_S2	0.00249859838213252	0.00711106534399708	0.831820158125379	0.158570178148491	0
LIB191025LC_S3	0	0.00381054849483334	0.00602963261829511	0.539215027010064	0.450944791876807
LIB191025LC_S4	0.0110096962026935	0.765728365707273	0.219174049075441	0.00408788901459224	0
LIB191025LC_S7	0.0034879898369114	0.0365269427713361	0.844713132337455	0.0885726543825533	0.0266992806717445
LIB191025LC_S9	0.00512091711142062	0.0787087986795714	0.859658116828607	0.0405483183689491	0.0159638490114521
LIB191025LC_S5	0.00702656229603388	0.222521910180638	0.764278415715012	0.00617311180831575	0
LIB191025LC_S8	0.00503891947425765	0.0457739562504631	0.884967132400804	0.052448920831827	0.0117710710426481
LIB191025LC_S10	0.000503599952787505	0.000763268678443561	0.00537435574615415	0.712397214462761	0.280961561159854
LIB191025LC_S11	0.000974850642149322	0.00115372231960791	0.0104908238829464	0.762968196615748	0.224412406539549
LIB191025LC_S12	0.00485330701842159	0.143557964688793	0.812204690448998	0.0393840378437874	0
LIB191025LC_S13	0.00475059382422802	0.0564786920332621	0.861283456966498	0.0774872571760123	0
LIB191025LC_S14	0.00797525130012538	0.482755373307867	0.501928721922431	0.00734065346957593	0
LIB191025LC_S15	0.0102541294322116	0.671001601138587	0.31597785775868	0.00276641167052126	0
LIB191025LC_S16	0.00514040310576497	0.11767610733395	0.857443577261938	0.0197399122983466	0
LIB191025LC_S17	0.00460208712745353	0.0615060850461076	0.844074812823404	0.0898170150030352	0
LIB191025LC_S18	0.00612636432521321	0.203819559054503	0.772122157328769	0.017931919291514	0
LIB191025LC_S19	0.00951770574638079	0.614132682536674	0.365295447484578	0.0110541642323667	0
LIB191025LC_S20	0.0142095290638493	0.774359286329746	0.208055929797217	0.00337525480918745	0
LIB191025LC_S21	0.0175747376224453	0.802069726218624	0.177882267133381	0.00247326902554874	0
LIB191025LC_S22	0.0137502473494863	0.761808404875944	0.219169525589645	0.00527182218492444	0
LIB191025LC_S23	0.00979373765905245	0.644673140590661	0.342524600480157	0.00300852127013044	0
LIB191025LC_S24	0.0173367270843574	0.813076661253804	0.164149356498396	0.00543725516344262	0
LIB191025LC_S25	0.0275325002691919	0.801776517634426	0.167811497198171	0.00287948489821073	0
LIB191025LC_S26	0.0208496378355107	0.791482180107783	0.186218057046902	0.00145012500980386	0
LIB191025LC_S27	0.0224475170284624	0.77507578129871	0.202476701672828	0	0
LIB191025LC_S28	0.0207729866832743	0.8042026284654	0.172629499404138	0.00239488544718744	0
LIB191025LC_S29	0.0143510368931348	0.782470951535296	0.200792195473455	0.00238581609811481	0
LIB191025LC_S30	0.0256852657234514	0.769625850169909	0.200741443249438	0.00394744085720148	0
LIB191025LC_S32	0.0468947815010891	0.773178241532672	0.179926976966239	0	0
LIB191025LC_S33	0.0287416013021213	0.790394819086291	0.180863579611588	0	0
LIB191025LC_S34	0.0138857410290902	0.698856762731171	0.287257496239738	0	0
LIB191025LC_S35	0.0119071839968251	0.692050909145712	0.293564016969715	0.00247788988774769	0
LIB191025LC_S37	0.0154565599297293	0.671945287337965	0.309572054087146	0.00302609864515957	0
LIB191025LC_S39	0.0203873194607517	0.698906508607885	0.277987296827036	0.00271887510432728	0
LIB191025LC_S60	0.00408782098030937	0.00665950178482325	0.241027904655894	0.748224772578974	0
LIB191025LC_S61	0	0.107462284812372	0.0511189144877709	0.79497375536822	0.0464450453316367
LIB191025LC_S62	0	0.00605896183758365	0.0935973955507325	0.86821004401037	0.0321335986013143
LIB191025LC_S65	0	0.0122307591279223	0.252938665615971	0.734830575256107	0
LIB191025LC_S67	0.00216264201191814	0.0151243283060563	0.768460368876843	0.214252660805183	0
LIB191025LC_S63	0.00106545027759974	0.00744150428261068	0.378584449420245	0.612908596019544	0
LIB191025LC_S64	0	0.00497226753670473	0.0892267536704731	0.832143556280587	0.073657422512235
LIB191025LC_S66	0.00393203065233458	0.0323768525601961	0.86035942585221	0.103331690935259	0
LIB191025LC_S68	0	0.00365236335675687	0.0398769730237724	0.856831628185139	0.0996390354343324
LIB191025LC_S69	0.0029501817660436	0.0221912472798616	0.837186446768775	0.13767212418532	0
LIB191025LC_S70	0	0.00723177388908729	0.344421202999847	0.648347023111066	0
LIB191025LC_S71	0	0.0111468764902241	0.0190450643776824	0.771936099189318	0.197871959942775
LIB191025LC_S72	0.00129583957864313	0.0128031339014326	0.683647937704154	0.30225308881577	0
LIB191025LC_S73	0.00262042704772044	0.02414170778144	0.807828525805065	0.165409339365775	0
