Sample	Rare	Small	Medium	Large	Hyperexpanded
LIB170921LC_S1	0.0117847288480879	0.0829830578405838	0.600462449607605	0.304769763703723	0
LIB170921LC_S2	0.00718073831832299	0.0481195982247139	0.375137342434703	0.56956232102226	0
LIB170921LC_S4	0	0	0.346030594352742	0.639432337418915	0.0145370682283434
LIB170921LC_S5	0.0128590457324362	0.10518631100789	0.60563885378599	0.276315789473684	0
LIB170921LC_S8	0	0.0705672904912618	0.469863767717077	0.446487546442824	0.0130813953488372
LIB170921LC_S9	0.0138695294575992	0.10547595342193	0.677191463573006	0.19112592528462	0.0123371282628458
LIB170921LC_S12	0.00927842223343014	0.0683055357484478	0.513556757508826	0.322570827318736	0.0862884571905599
LIB170921LC_S14	0.0100078918384515	0.0728911013017197	0.609761597099966	0.290593102012853	0.0167463077470102
LIB170921LC_S15	0	0.0707961556001067	0.577425766427754	0.351778077972139	0
LIB170921LC_S16	0.0139811042732079	0.222848227442143	0.732842160006934	0.0303285082777152	0
LIB170921LC_S17	0.0153810619605294	0.121679769369616	0.731455897071781	0.131483271598073	0
LIB170921LC_S18	0.00167567847703284	0.0774439856962703	0.825159362205677	0.0957209736210202	0
LIB170921LC_S19	0.00667743765146698	0.071956480638009	0.59907873704474	0.311381722555473	0.0109056221103109
LIB170921LC_S23	0.00345569368731156	0.184214391236361	0.797703691544781	0.0146262235315462	0
LIB170921LC_S24	0	0.0363857144087429	0.338985678238329	0.624628607352929	0
LIB170921LC_S25	0.00892044420171127	0.066621587648349	0.630143992787357	0.294313975362583	0
LIB170921LC_S27	0	0.063098158449366	0.521844660194175	0.415057181356459	0
LIB170921LC_S28	0	0.066523753544015	0.46103312357375	0.462424797731831	0.0100183251504045
LIB170921LC_S29	0	0.0499581380494921	0.451237301155735	0.471322406069551	0.0274821547252216
LIB170921LC_S30	0.00437481627500821	0.260846258926873	0.727205132195535	0.00757379260258339	0
LIB170921LC_S31	0	0.0583192026853998	0.420874139183998	0.520806658130602	0
LIB170921LC_S32	0	0	0.337312250241146	0.636988424968995	0.0256993247898581
LIB170921LC_S33	0.0117443153891921	0.0923506738753654	0.69057781686801	0.194255460416828	0.011071733450604
LIB170921LC_S36	0	0.0431397597016986	0.449730700179533	0.490747134373705	0.0163824057450628
LIB170921LC_S37	0	0.080320870343593	0.547054671899745	0.356649796873924	0.0159746608827377
LIB170921LC_S43	0.0039908779931585	0.0720517604782143	0.61805051656819	0.305906844960437	0
