Sample	Treatment	Experiment	Mouse	Tissue	Batch
S1	PLX+PTX+aPD-1_R	d105	37526	Blood	LIB191025LC
S2	PLX+PTX+aPD-1_R	d105	37584	Blood	LIB191025LC
S3	PLX+PTX+aPD-1_R	d105	37588	Blood	LIB191025LC
S4	PLX+PTX+aPD-1_R	d105	37785	Blood	LIB191025LC
S5	PLX+PTX+aPD-1_NR	d105	37759	Blood	LIB191025LC
S7	PLX+PTX+aPD-1_R	d105	37826	Blood	LIB191025LC
S8	PLX+PTX+aPD-1_NR	d105	37847	Blood	LIB191025LC
S9	PLX+PTX+aPD-1_R	d105	37881	Blood	LIB191025LC
S10	PLX+PTX+aPD-1_NR	d105	37868	Blood	LIB191025LC
S11	PLX+PTX+aPD-1_NR	d105	37869	Blood	LIB191025LC
S12	PLX+PTX	d105	37592	Blood	LIB191025LC
S13	PLX+PTX	d105	37582	Blood	LIB191025LC
S14	PLX+PTX	d105	37876	Blood	LIB191025LC
S15	PLX+PTX	d105	37817	Blood	LIB191025LC
S16	PLX+PTX	d105	37589	Blood	LIB191025LC
S17	PLX+PTX	d105	37590	Blood	LIB191025LC
S18	PTX	d105	37849	Blood	LIB191025LC
S19	PTX	d105	37850	Blood	LIB191025LC
S20	WTNT	d105	F1	Blood	LIB191025LC
S21	WTNT	d105	F2	Blood	LIB191025LC
S22	WTNT	d105	F3	Blood	LIB191025LC
S23	WTNT	d105	F4	Blood	LIB191025LC
S24	WTNT	d105	F5	Blood	LIB191025LC
S25	Untreated	d95	39647	Blood	LIB191025LC
S26	Untreated	d95	39654	Blood	LIB191025LC
S27	Untreated	d95	39667	Blood	LIB191025LC
S28	Untreated	d95	39669	Blood	LIB191025LC
S29	Untreated	d95	39670	Blood	LIB191025LC
S30	PTX+aPD-1	d105	34508	Blood	LIB191025LC
S32	PTX+aPD-1	d105	34433	Blood	LIB191025LC
S33	PTX+aPD-1	d105	34425	Blood	LIB191025LC
S34	Untreated	d105	1	Blood	LIB191025LC
S35	Untreated	d105	2	Blood	LIB191025LC
S37	Untreated	d105	4	Blood	LIB191025LC
S39	Untreated	d105	6	Blood	LIB191025LC
S60	PLX+PTX+aPD-1_R	d95	38843	Blood	LIB191025LC
S61	PLX+PTX+aPD-1_R	d95	38844	Blood	LIB191025LC
S62	PLX+PTX+aPD-1_R	d95	38845	Blood	LIB191025LC
S63	PLX+PTX+aPD-1_NR	d95	38846	Blood	LIB191025LC
S64	PLX+PTX+aPD-1_NR	d95	38847	Blood	LIB191025LC
S65	PLX+PTX+aPD-1_R	d95	38848	Blood	LIB191025LC
S66	PLX+PTX+aPD-1_NR	d95	38849	Blood	LIB191025LC
S67	PLX+PTX+aPD-1_R	d95	38850	Blood	LIB191025LC
S68	PLX+PTX	d95	38851	Blood	LIB191025LC
S69	PLX+PTX	d95	38852	Blood	LIB191025LC
S70	PLX+PTX	d95	38853	Blood	LIB191025LC
S71	PTX	d95	38854	Blood	LIB191025LC
S72	PTX	d95	38855	Blood	LIB191025LC
S73	PTX	d95	38856	Blood	LIB191025LC
