Sample,Treatment,Experiment,Mouse,Tissue,Batch,geoSample,Title
S1,PLX+PTX+aPD-1_R,d105,37526,Blood,LIB191025LC,APB1,d105 PLX+PTX+aPD-1_R
S2,PLX+PTX+aPD-1_R,d105,37584,Blood,LIB191025LC,APB2,d105 PLX+PTX+aPD-1_R
S3,PLX+PTX+aPD-1_R,d105,37588,Blood,LIB191025LC,APB3,d105 PLX+PTX+aPD-1_R
S4,PLX+PTX+aPD-1_R,d105,37785,Blood,LIB191025LC,APB4,d105 PLX+PTX+aPD-1_R
S5,PLX+PTX+aPD-1_NR,d105,37759,Blood,LIB191025LC,APB5,d105 PLX+PTX+aPD-1_NR
S7,PLX+PTX+aPD-1_R,d105,37826,Blood,LIB191025LC,APB6,d105 PLX+PTX+aPD-1_R
S8,PLX+PTX+aPD-1_NR,d105,37847,Blood,LIB191025LC,APB7,d105 PLX+PTX+aPD-1_NR
S9,PLX+PTX+aPD-1_R,d105,37881,Blood,LIB191025LC,APB8,d105 PLX+PTX+aPD-1_R
S10,PLX+PTX+aPD-1_NR,d105,37868,Blood,LIB191025LC,APB9,d105 PLX+PTX+aPD-1_NR
S11,PLX+PTX+aPD-1_NR,d105,37869,Blood,LIB191025LC,APB10,d105 PLX+PTX+aPD-1_NR
S12,PLX+PTX,d105,37592,Blood,LIB191025LC,APB11,d105 PLX+PTX
S13,PLX+PTX,d105,37582,Blood,LIB191025LC,APB12,d105 PLX+PTX
S14,PLX+PTX,d105,37876,Blood,LIB191025LC,APB13,d105 PLX+PTX
S15,PLX+PTX,d105,37817,Blood,LIB191025LC,APB14,d105 PLX+PTX
S16,PLX+PTX,d105,37589,Blood,LIB191025LC,APB15,d105 PLX+PTX
S17,PLX+PTX,d105,37590,Blood,LIB191025LC,APB16,d105 PLX+PTX
S18,PTX,d105,37849,Blood,LIB191025LC,APB17,d105 PTX
S19,PTX,d105,37850,Blood,LIB191025LC,APB18,d105 PTX
S20,WTNT,d105,F1,Blood,LIB191025LC,APB19,d105 WTNT
S21,WTNT,d105,F2,Blood,LIB191025LC,APB20,d105 WTNT
S22,WTNT,d105,F3,Blood,LIB191025LC,APB21,d105 WTNT
S23,WTNT,d105,F4,Blood,LIB191025LC,APB22,d105 WTNT
S24,WTNT,d105,F5,Blood,LIB191025LC,APB23,d105 WTNT
S25,Untreated,d95,39647,Blood,LIB191025LC,APB24,d95 Untreated
S26,Untreated,d95,39654,Blood,LIB191025LC,APB25,d95 Untreated
S27,Untreated,d95,39667,Blood,LIB191025LC,APB26,d95 Untreated
S28,Untreated,d95,39669,Blood,LIB191025LC,APB27,d95 Untreated
S29,Untreated,d95,39670,Blood,LIB191025LC,APB28,d95 Untreated
S30,PTX+aPD-1,d105,34508,Blood,LIB191025LC,APB29,d105 PTX+aPD-1
S32,PTX+aPD-1,d105,34433,Blood,LIB191025LC,APB30,d105 PTX+aPD-1
S33,PTX+aPD-1,d105,34425,Blood,LIB191025LC,APB31,d105 PTX+aPD-1
S34,Untreated,d105,1,Blood,LIB191025LC,APB32,d105 Untreated
S35,Untreated,d105,2,Blood,LIB191025LC,APB33,d105 Untreated
S37,Untreated,d105,4,Blood,LIB191025LC,APB34,d105 Untreated
S39,Untreated,d105,6,Blood,LIB191025LC,APB35,d105 Untreated
S60,PLX+PTX+aPD-1_R,d95,38843,Blood,LIB191025LC,APB36,d95 PLX+PTX+aPD-1_R
S61,PLX+PTX+aPD-1_R,d95,38844,Blood,LIB191025LC,APB37,d95 PLX+PTX+aPD-1_R
S62,PLX+PTX+aPD-1_R,d95,38845,Blood,LIB191025LC,APB38,d95 PLX+PTX+aPD-1_R
S63,PLX+PTX+aPD-1_NR,d95,38846,Blood,LIB191025LC,APB39,d95 PLX+PTX+aPD-1_NR
S64,PLX+PTX+aPD-1_NR,d95,38847,Blood,LIB191025LC,APB40,d95 PLX+PTX+aPD-1_NR
S65,PLX+PTX+aPD-1_R,d95,38848,Blood,LIB191025LC,APB41,d95 PLX+PTX+aPD-1_R
S66,PLX+PTX+aPD-1_NR,d95,38849,Blood,LIB191025LC,APB42,d95 PLX+PTX+aPD-1_NR
S67,PLX+PTX+aPD-1_R,d95,38850,Blood,LIB191025LC,APB43,d95 PLX+PTX+aPD-1_R
S68,PLX+PTX,d95,38851,Blood,LIB191025LC,APB44,d95 PLX+PTX
S69,PLX+PTX,d95,38852,Blood,LIB191025LC,APB45,d95 PLX+PTX
S70,PLX+PTX,d95,38853,Blood,LIB191025LC,APB46,d95 PLX+PTX
S71,PTX,d95,38854,Blood,LIB191025LC,APB47,d95 PTX
S72,PTX,d95,38855,Blood,LIB191025LC,APB48,d95 PTX
S73,PTX,d95,38856,Blood,LIB191025LC,APB49,d95 PTX
