Sample	Treatment	Experiment	Mouse	Tissue	Batch
S1	Untreated	d80	33330	Lung	LIB170921LC
S2	Untreated	d80	33324	Lung	LIB170921LC
S4	WTNT	d80	f5703	Lung	LIB170921LC
S5	WTNT	d80	f5704	Lung	LIB170921LC
S8	WTNT	d80	f5690	Lung	LIB170921LC
S9	WTNT	d80	f5691	Lung	LIB170921LC
S12	aPD-L1	d105	31407	Lung	LIB170921LC
S14	aPD-L1	d105	31931	Lung	LIB170921LC
S15	aPD-L1	d105	31932	Lung	LIB170921LC
S16	aPD-L1	d105	31934	Lung	LIB170921LC
S17	aPD-L1	d105	31978	Lung	LIB170921LC
S18	aPD-L1	d105	31979	Lung	LIB170921LC
S19	aPD-L1	d105	31982	Lung	LIB170921LC
S23	Untreated	d105	30623	Lung	LIB170921LC
S24	Untreated	d105	30625	Lung	LIB170921LC
S25	Untreated	d105	30828	Lung	LIB170921LC
S27	Untreated	d105	30608	Lung	LIB170921LC
S28	Untreated	d105	31725	Lung	LIB170921LC
S29	Untreated	d105	31727	Lung	LIB170921LC
S30	Untreated	d105	33008	Lung	LIB170921LC
S31	Untreated	d105	33020	Lung	LIB170921LC
S32	Untreated	d105	33021	Lung	LIB170921LC
S33	Untreated	d105	33022	Lung	LIB170921LC
S36	Untreated	d105	33026	Lung	LIB170921LC
S37	Untreated	d105	33028	Lung	LIB170921LC
S43	PTX+aPD-L1	d105	31926	Lung	LIB170921LC
S44	PTX+aPD-L1	d105	31927	Lung	LIB170921LC
S45	PTX+aPD-L1	d105	32355	Lung	LIB170921LC
S46	PTX+aPD-L1	d105	32384	Lung	LIB170921LC
S48	PTX+aPD-L1	d105	32458	Lung	LIB170921LC
S49	PTX+aPD-L1	d105	32459	Lung	LIB170921LC
S51	PTX+aPD-L1	d105	32463	Lung	LIB170921LC
S53	PTX	d105	30881	Lung	LIB170921LC
S54	PTX	d105	30884	Lung	LIB170921LC
S56	PTX	d105	30399	Lung	LIB170921LC
S59	PTX	d105	31722	Lung	LIB170921LC
S61	PTX	d105	31767	Lung	LIB170921LC
S62	PTX	d105	32625	Lung	LIB170921LC
S65	PTX	d105	32670	Lung	LIB170921LC
S88	PLX+PTX	d105	30747	Lung	LIB170921LC
S90	PLX+PTX	d105	30838	Lung	LIB170921LC
S91	PLX+PTX	d105	30698	Lung	LIB170921LC
S94	PLX+PTX	d105	30746	Lung	LIB170921LC
S95	PLX+PTX	d105	30748	Lung	LIB170921LC
S98	PLX+PTX	d105	30839	Lung	LIB170921LC
S103	PLX+PTX+aPD-L1	d105	32155	Lung	LIB170921LC
S109	PLX+PTX+aPD-L1	d105	31644	Lung	LIB170921LC
S111	PLX+PTX+aPD-L1	d105	31680	Lung	LIB170921LC
S115	PLX+PTX+aPD-L1	d105	32018	Lung	LIB170921LC
S116	PLX+PTX+aPD-L1	d105	32019	Lung	LIB170921LC
S128	PLX+PTX+aPD-1_R	d105	33553	Lung	LIB171213LC
S129	PLX+PTX+aPD-1_R	d105	33559	Lung	LIB171213LC
S130	PLX+PTX+aPD-1_R	d105	33654	Lung	LIB171213LC
S131	PLX+PTX+aPD-1_NR	d105	33740	Lung	LIB171213LC
S132	PLX+PTX+aPD-1_NR	d105	34024	Lung	LIB171213LC
S133	PLX+PTX+aPD-1_NR	d105	34357	Lung	LIB171213LC
S134	PLX+PTX+aPD-1_NR	d105	34358	Lung	LIB171213LC
S135	PLX+PTX	d105	33972	Lung	LIB171213LC
S136	PLX+PTX	d105	33965	Lung	LIB171213LC
S137	PLX+PTX	d105	34006	Lung	LIB171213LC
S138	PLX+PTX	d105	34005	Lung	LIB171213LC
S139	PLX+PTX	d105	34001	Lung	LIB171213LC
S140	PLX+PTX	d105	34584	Lung	LIB171213LC
S141	PTX+aPD-1	d105	34431	Lung	LIB171213LC
S142	PTX+aPD-1	d105	34433	Lung	LIB171213LC
S143	PTX+aPD-1	d105	34425	Lung	LIB171213LC
S144	PTX+aPD-1	d105	34508	Lung	LIB171213LC
S145	PTX+aPD-1	d105	34509	Lung	LIB171213LC
S146	PTX+aPD-1	d105	34510	Lung	LIB171213LC
S148	PTX+aPD-1	d105	34514	Lung	LIB171213LC
S149	PTX+aPD-1	d105	34515	Lung	LIB171213LC
S150	PTX	d105	34603	Lung	LIB171213LC
S151	PTX	d105	34659	Lung	LIB171213LC
S152	PTX	d105	34662	Lung	LIB171213LC
S153	PTX	d105	34663	Lung	LIB171213LC
S154	PLX	d105	31632	Lung	LIB171213LC
S155	PLX	d105	31634	Lung	LIB171213LC
S156	PLX	d105	31506	Lung	LIB171213LC
S158	PLX	d105	32635	Lung	LIB171213LC
S159	PLX	d105	32667	Lung	LIB171213LC
S161	PLX	d105	32942	Lung	LIB171213LC
S162	PLX	d105	32693	Lung	LIB171213LC
S163	PLX	d105	32696	Lung	LIB171213LC
S164	PLX	d105	32697	Lung	LIB171213LC
S24	PLX+PTX+aPD-1_R	d105	37526	Lung	LIB190701LC
S25	PLX+PTX+aPD-1_R	d105	37584	Lung	LIB190701LC
S26	PLX+PTX+aPD-1_R	d105	37588	Lung	LIB190701LC
