Sample,Treatment,Experiment,Mouse,Tissue,Batch,geoSample,Title
S1,Untreated,d80,33330,Lung,LIB170921LC,APL1,d80 Untreated
S2,Untreated,d80,33324,Lung,LIB170921LC,APL2,d80 Untreated
S4,WTNT,d80,f5703,Lung,LIB170921LC,APL3,d80 WTNT
S5,WTNT,d80,f5704,Lung,LIB170921LC,APL4,d80 WTNT
S8,WTNT,d80,f5690,Lung,LIB170921LC,APL5,d80 WTNT
S9,WTNT,d80,f5691,Lung,LIB170921LC,APL6,d80 WTNT
S12,aPD-L1,d105,31407,Lung,LIB170921LC,APL7,d105 aPD-L1
S14,aPD-L1,d105,31931,Lung,LIB170921LC,APL8,d105 aPD-L1
S15,aPD-L1,d105,31932,Lung,LIB170921LC,APL9,d105 aPD-L1
S16,aPD-L1,d105,31934,Lung,LIB170921LC,APL10,d105 aPD-L1
S17,aPD-L1,d105,31978,Lung,LIB170921LC,APL11,d105 aPD-L1
S18,aPD-L1,d105,31979,Lung,LIB170921LC,APL12,d105 aPD-L1
S19,aPD-L1,d105,31982,Lung,LIB170921LC,APL13,d105 aPD-L1
S23,Untreated,d105,30623,Lung,LIB170921LC,APL14,d105 Untreated
S24,Untreated,d105,30625,Lung,LIB170921LC,APL15,d105 Untreated
S25,Untreated,d105,30828,Lung,LIB170921LC,APL16,d105 Untreated
S27,Untreated,d105,30608,Lung,LIB170921LC,APL17,d105 Untreated
S28,Untreated,d105,31725,Lung,LIB170921LC,APL18,d105 Untreated
S29,Untreated,d105,31727,Lung,LIB170921LC,APL19,d105 Untreated
S30,Untreated,d105,33008,Lung,LIB170921LC,APL20,d105 Untreated
S31,Untreated,d105,33020,Lung,LIB170921LC,APL21,d105 Untreated
S32,Untreated,d105,33021,Lung,LIB170921LC,APL22,d105 Untreated
S33,Untreated,d105,33022,Lung,LIB170921LC,APL23,d105 Untreated
S36,Untreated,d105,33026,Lung,LIB170921LC,APL24,d105 Untreated
S37,Untreated,d105,33028,Lung,LIB170921LC,APL25,d105 Untreated
S43,PTX+aPD-L1,d105,31926,Lung,LIB170921LC,APL26,d105 PTX+aPD-L1
S44,PTX+aPD-L1,d105,31927,Lung,LIB170921LC,APL27,d105 PTX+aPD-L1
S45,PTX+aPD-L1,d105,32355,Lung,LIB170921LC,APL28,d105 PTX+aPD-L1
S46,PTX+aPD-L1,d105,32384,Lung,LIB170921LC,APL29,d105 PTX+aPD-L1
S48,PTX+aPD-L1,d105,32458,Lung,LIB170921LC,APL30,d105 PTX+aPD-L1
S49,PTX+aPD-L1,d105,32459,Lung,LIB170921LC,APL31,d105 PTX+aPD-L1
S51,PTX+aPD-L1,d105,32463,Lung,LIB170921LC,APL32,d105 PTX+aPD-L1
S53,PTX,d105,30881,Lung,LIB170921LC,APL33,d105 PTX
S54,PTX,d105,30884,Lung,LIB170921LC,APL34,d105 PTX
S56,PTX,d105,30399,Lung,LIB170921LC,APL35,d105 PTX
S59,PTX,d105,31722,Lung,LIB170921LC,APL36,d105 PTX
S61,PTX,d105,31767,Lung,LIB170921LC,APL37,d105 PTX
S62,PTX,d105,32625,Lung,LIB170921LC,APL38,d105 PTX
S65,PTX,d105,32670,Lung,LIB170921LC,APL39,d105 PTX
S88,PLX+PTX,d105,30747,Lung,LIB170921LC,APL40,d105 PLX+PTX
S90,PLX+PTX,d105,30838,Lung,LIB170921LC,APL41,d105 PLX+PTX
S91,PLX+PTX,d105,30698,Lung,LIB170921LC,APL42,d105 PLX+PTX
S94,PLX+PTX,d105,30746,Lung,LIB170921LC,APL43,d105 PLX+PTX
S95,PLX+PTX,d105,30748,Lung,LIB170921LC,APL44,d105 PLX+PTX
S98,PLX+PTX,d105,30839,Lung,LIB170921LC,APL45,d105 PLX+PTX
S103,PLX+PTX+aPD-L1,d105,32155,Lung,LIB170921LC,APL46,d105 PLX+PTX+aPD-L1
S109,PLX+PTX+aPD-L1,d105,31644,Lung,LIB170921LC,APL47,d105 PLX+PTX+aPD-L1
S111,PLX+PTX+aPD-L1,d105,31680,Lung,LIB170921LC,APL48,d105 PLX+PTX+aPD-L1
S115,PLX+PTX+aPD-L1,d105,32018,Lung,LIB170921LC,APL49,d105 PLX+PTX+aPD-L1
S116,PLX+PTX+aPD-L1,d105,32019,Lung,LIB170921LC,APL50,d105 PLX+PTX+aPD-L1
S128,PLX+PTX+aPD-1_R,d105,33553,Lung,LIB171213LC,APL51,d105 PLX+PTX+aPD-1_R
