Sample	Treatment	Experiment	Mouse	Tissue	Batch
S1	Untreated	d80	33330	Tumor	LIB170728LC
S2	Untreated	d80	33324	Tumor	LIB170728LC
S4	WTNT	d80	f5703	Tumor	LIB170728LC
S5	WTNT	d80	f5704	Tumor	LIB170728LC
S6	WTNT	d80	f5705	Tumor	LIB170728LC
S7	WTNT	d80	f5706	Tumor	LIB170728LC
S8	WTNT	d80	f5690	Tumor	LIB170728LC
S9	WTNT	d80	f5691	Tumor	LIB170728LC
S10	WTNT	d80	f5692	Tumor	LIB170728LC
S11	WTNT	d80	f5693	Tumor	LIB170728LC
S12	aPD-L1	d105	31407	Tumor	LIB170728LC
S13	aPD-L1	d105	31408	Tumor	LIB170728LC
S15	aPD-L1	d105	31932	Tumor	LIB170728LC
S18	aPD-L1	d105	31979	Tumor	LIB170728LC
S19	aPD-L1	d105	31982	Tumor	LIB170728LC
S20	aPD-L1	d105	32849	Tumor	LIB170728LC
S21	aPD-L1	d105	32844	Tumor	LIB170728LC
S22	aPD-L1	d105	32848	Tumor	LIB170728LC
S23	Untreated	d105	30623	Tumor	LIB170728LC
S24	Untreated	d105	30625	Tumor	LIB170728LC
S25	Untreated	d105	30828	Tumor	LIB170728LC
S26	Untreated	d105	30660	Tumor	LIB170728LC
S27	Untreated	d105	30608	Tumor	LIB170728LC
S29	Untreated	d105	31727	Tumor	LIB170728LC
S30	Untreated	d105	33008	Tumor	LIB170728LC
S31	Untreated	d105	33020	Tumor	LIB170728LC
S32	Untreated	d105	33021	Tumor	LIB170728LC
S33	Untreated	d105	33022	Tumor	LIB170728LC
S34	Untreated	d105	33023	Tumor	LIB170728LC
S36	Untreated	d105	33026	Tumor	LIB170728LC
S38	PTX+aPD-L1	d105	31852	Tumor	LIB170728LC
S41	PTX+aPD-L1	d105	31878	Tumor	LIB170728LC
S42	PTX+aPD-L1	d105	31879	Tumor	LIB170728LC
S43	PTX+aPD-L1	d105	31926	Tumor	LIB170728LC
S44	PTX+aPD-L1	d105	31927	Tumor	LIB170728LC
S45	PTX+aPD-L1	d105	32355	Tumor	LIB170728LC
S46	PTX+aPD-L1	d105	32384	Tumor	LIB170728LC
S47	PTX+aPD-L1	d105	32379	Tumor	LIB170728LC
S48	PTX+aPD-L1	d105	32458	Tumor	LIB170728LC
S49	PTX+aPD-L1	d105	32459	Tumor	LIB170728LC
S50	PTX+aPD-L1	d105	32461	Tumor	LIB170728LC
S51	PTX+aPD-L1	d105	32463	Tumor	LIB170728LC
S52	PTX	d105	32560	Tumor	LIB170728LC
S53	PTX	d105	30881	Tumor	LIB170728LC
S54	PTX	d105	30884	Tumor	LIB170728LC
S55	PTX	d105	30885	Tumor	LIB170728LC
S59	PTX	d105	31722	Tumor	LIB170728LC
S60	PTX	d105	31766	Tumor	LIB170728LC
S61	PTX	d105	31767	Tumor	LIB170728LC
S62	PTX	d105	32625	Tumor	LIB170728LC
S63	PTX	d105	32639	Tumor	LIB170728LC
S64	PTX	d105	32661	Tumor	LIB170728LC
S65	PTX	d105	32670	Tumor	LIB170728LC
S89	PLX+PTX	d105	30835	Tumor	LIB170728LC
S90	PLX+PTX	d105	30838	Tumor	LIB170728LC
S91	PLX+PTX	d105	30698	Tumor	LIB170728LC
S92	PLX+PTX	d105	30699	Tumor	LIB170728LC
S93	PLX+PTX	d105	30700	Tumor	LIB170728LC
S94	PLX+PTX	d105	30746	Tumor	LIB170728LC
S98	PLX+PTX	d105	30839	Tumor	LIB170728LC
S99	PLX+PTX	d105	31728	Tumor	LIB170728LC
S101	PLX+PTX	d105	32063	Tumor	LIB170728LC
S102	PLX+PTX	d105	32067	Tumor	LIB170728LC
S103	PLX+PTX+aPD-L1	d105	32155	Tumor	LIB170728LC
S105	PLX+PTX+aPD-L1	d105	30893	Tumor	LIB170728LC
S106	PLX+PTX+aPD-L1	d105	30894	Tumor	LIB170728LC
S107	PLX+PTX+aPD-L1	d105	31045	Tumor	LIB170728LC
S109	PLX+PTX+aPD-L1	d105	31644	Tumor	LIB170728LC
S110	PLX+PTX+aPD-L1	d105	31679	Tumor	LIB170728LC
