Sample,Treatment,Experiment,Mouse,Tissue,Batch,geoSample,Title
S1,Untreated,d80,33330,Tumor,LIB170728LC,APT1,d80 Untreated
S2,Untreated,d80,33324,Tumor,LIB170728LC,APT2,d80 Untreated
S4,WTNT,d80,f5703,Tumor,LIB170728LC,APT3,d80 WTNT
S5,WTNT,d80,f5704,Tumor,LIB170728LC,APT4,d80 WTNT
S6,WTNT,d80,f5705,Tumor,LIB170728LC,APT5,d80 WTNT
S7,WTNT,d80,f5706,Tumor,LIB170728LC,APT6,d80 WTNT
S8,WTNT,d80,f5690,Tumor,LIB170728LC,APT7,d80 WTNT
S9,WTNT,d80,f5691,Tumor,LIB170728LC,APT8,d80 WTNT
S10,WTNT,d80,f5692,Tumor,LIB170728LC,APT9,d80 WTNT
S11,WTNT,d80,f5693,Tumor,LIB170728LC,APT10,d80 WTNT
S12,aPD-L1,d105,31407,Tumor,LIB170728LC,APT11,d105 aPD-L1
S13,aPD-L1,d105,31408,Tumor,LIB170728LC,APT12,d105 aPD-L1
S15,aPD-L1,d105,31932,Tumor,LIB170728LC,APT13,d105 aPD-L1
S18,aPD-L1,d105,31979,Tumor,LIB170728LC,APT14,d105 aPD-L1
S19,aPD-L1,d105,31982,Tumor,LIB170728LC,APT15,d105 aPD-L1
S20,aPD-L1,d105,32849,Tumor,LIB170728LC,APT16,d105 aPD-L1
S21,aPD-L1,d105,32844,Tumor,LIB170728LC,APT17,d105 aPD-L1
S22,aPD-L1,d105,32848,Tumor,LIB170728LC,APT18,d105 aPD-L1
S23,Untreated,d105,30623,Tumor,LIB170728LC,APT19,d105 Untreated
S24,Untreated,d105,30625,Tumor,LIB170728LC,APT20,d105 Untreated
S25,Untreated,d105,30828,Tumor,LIB170728LC,APT21,d105 Untreated
S26,Untreated,d105,30660,Tumor,LIB170728LC,APT22,d105 Untreated
S27,Untreated,d105,30608,Tumor,LIB170728LC,APT23,d105 Untreated
S29,Untreated,d105,31727,Tumor,LIB170728LC,APT24,d105 Untreated
S30,Untreated,d105,33008,Tumor,LIB170728LC,APT25,d105 Untreated
S31,Untreated,d105,33020,Tumor,LIB170728LC,APT26,d105 Untreated
S32,Untreated,d105,33021,Tumor,LIB170728LC,APT27,d105 Untreated
S33,Untreated,d105,33022,Tumor,LIB170728LC,APT28,d105 Untreated
S34,Untreated,d105,33023,Tumor,LIB170728LC,APT29,d105 Untreated
S36,Untreated,d105,33026,Tumor,LIB170728LC,APT30,d105 Untreated
S38,PTX+aPD-L1,d105,31852,Tumor,LIB170728LC,APT31,d105 PTX+aPD-L1
S41,PTX+aPD-L1,d105,31878,Tumor,LIB170728LC,APT32,d105 PTX+aPD-L1
S42,PTX+aPD-L1,d105,31879,Tumor,LIB170728LC,APT33,d105 PTX+aPD-L1
S43,PTX+aPD-L1,d105,31926,Tumor,LIB170728LC,APT34,d105 PTX+aPD-L1
S44,PTX+aPD-L1,d105,31927,Tumor,LIB170728LC,APT35,d105 PTX+aPD-L1
S45,PTX+aPD-L1,d105,32355,Tumor,LIB170728LC,APT36,d105 PTX+aPD-L1
S46,PTX+aPD-L1,d105,32384,Tumor,LIB170728LC,APT37,d105 PTX+aPD-L1
S47,PTX+aPD-L1,d105,32379,Tumor,LIB170728LC,APT38,d105 PTX+aPD-L1
S48,PTX+aPD-L1,d105,32458,Tumor,LIB170728LC,APT39,d105 PTX+aPD-L1
S49,PTX+aPD-L1,d105,32459,Tumor,LIB170728LC,APT40,d105 PTX+aPD-L1
S50,PTX+aPD-L1,d105,32461,Tumor,LIB170728LC,APT41,d105 PTX+aPD-L1
S51,PTX+aPD-L1,d105,32463,Tumor,LIB170728LC,APT42,d105 PTX+aPD-L1
S52,PTX,d105,32560,Tumor,LIB170728LC,APT43,d105 PTX
S53,PTX,d105,30881,Tumor,LIB170728LC,APT44,d105 PTX
S54,PTX,d105,30884,Tumor,LIB170728LC,APT45,d105 PTX
S55,PTX,d105,30885,Tumor,LIB170728LC,APT46,d105 PTX
S59,PTX,d105,31722,Tumor,LIB170728LC,APT47,d105 PTX
S60,PTX,d105,31766,Tumor,LIB170728LC,APT48,d105 PTX
S61,PTX,d105,31767,Tumor,LIB170728LC,APT49,d105 PTX
S62,PTX,d105,32625,Tumor,LIB170728LC,APT50,d105 PTX
S63,PTX,d105,32639,Tumor,LIB170728LC,APT51,d105 PTX
S64,PTX,d105,32661,Tumor,LIB170728LC,APT52,d105 PTX
S65,PTX,d105,32670,Tumor,LIB170728LC,APT53,d105 PTX
S89,PLX+PTX,d105,30835,Tumor,LIB170728LC,APT54,d105 PLX+PTX
S90,PLX+PTX,d105,30838,Tumor,LIB170728LC,APT55,d105 PLX+PTX
S91,PLX+PTX,d105,30698,Tumor,LIB170728LC,APT56,d105 PLX+PTX
S92,PLX+PTX,d105,30699,Tumor,LIB170728LC,APT57,d105 PLX+PTX
